Disease,AUC-ROC,Competition_Task
No Finding,0.8748643844522894,False
Enlarged Cardiomediastinum,0.6037846045268942,False
Cardiomegaly,0.808307299261885,True
Lung Opacity,0.7217729054277604,False
Lung Lesion,0.7480135930377124,False
Edema,0.8479307706072379,True
Consolidation,0.6808167028651507,True
Pneumonia,0.7401477985131064,False
Atelectasis,0.7101619810845634,True
Pneumothorax,0.8077192876637882,False
Pleural Effusion,0.8609923893217378,True
Pleural Other,0.7892194431510451,False
Fracture,0.7044676626397609,False
Support Devices,0.8347453168555375,False
