Disease,AUC_fp32,AUC_int8,Delta
No Finding,0.8704270057695618,0.8198564785715775,-0.05057052719798427
Enlarged Cardiomediastinum,0.598070533437687,0.5456398511655827,-0.052430682272104345
Cardiomegaly,0.8057926638271179,0.7462578195496962,-0.05953484427742173
Lung Opacity,0.7285658494210249,0.6989504136601221,-0.029615435760902753
Lung Lesion,0.7365747096537093,0.692324619195201,-0.04425009045850825
Edema,0.8564755715289499,0.8165571460026739,-0.039918425526276
Consolidation,0.6945208460111318,0.645875413729128,-0.0486454322820038
Pneumonia,0.7438588435241493,0.6924229767753208,-0.051435866748828496
Atelectasis,0.7179599016484312,0.6825478313804605,-0.03541207026797066
Pneumothorax,0.8093839681876205,0.7490659353735739,-0.060318032814046574
Pleural Effusion,0.8650642234594959,0.8206751973323222,-0.04438902612717366
Pleural Other,0.7914539910890086,0.7526977811015007,-0.03875620998750795
Fracture,0.7184275358326316,0.6687618660185398,-0.04966566981409182
Support Devices,0.8458812816115476,0.7095639444440793,-0.1363173371674683
